order_hour,weekend,meal_time,cart_size,cart_value_bucket,user_price_sensitivity,user_city_tier,restaurant_city_tier,same_city_tier,user_frequency,user_avg_spend,restaurant_popularity,candidate_category,candidate_price,candidate_price_percentile,candidate_popularity,semantic_similarity,late_night,is_weekend,is_beverage,is_dessert,expensive_candidate,high_price_sensitive,price_sensitive_x_expensive
0,0,LateNight,2,Medium,medium,Tier1,Tier1,1,11,509.1666666666667,113,Beverage,136,0.16666666666666666,64,0.017810288958590267,0,0,1,0,0,0,0
0,0,LateNight,2,Medium,medium,Tier1,Tier1,1,11,509.1666666666667,113,Beverage,329,0.8333333333333334,64,-0.03473117509746206,0,0,1,0,1,0,0
0,0,LateNight,2,Medium,medium,Tier1,Tier1,1,11,509.1666666666667,113,Dessert,380,1.0,64,-0.05831316787564506,0,0,0,1,1,0,0
0,0,LateNight,2,High,medium,Tier2,Tier1,0,23,497.2142857142857,123,Side,236,0.5,48,0.0033074081753056463,0,0,0,0,0,0,0
0,0,LateNight,2,High,medium,Tier2,Tier1,0,23,497.2142857142857,123,Beverage,472,1.0,48,0.016297318801718527,0,0,1,0,1,0,0
0,0,LateNight,3,High,medium,Tier1,Tier3,0,12,566.1904761904761,115,Side,188,0.2727272727272727,19,0.03741704606352416,0,0,0,0,0,0,0
0,0,LateNight,3,High,medium,Tier1,Tier3,0,12,566.1904761904761,115,Beverage,486,1.0,19,0.0172169507527974,0,0,1,0,1,0,0
0,0,LateNight,3,High,medium,Tier1,Tier3,0,12,566.1904761904761,115,Side,412,0.7272727272727273,19,-0.011220237516910543,0,0,0,0,1,0,0
0,0,LateNight,3,High,medium,Tier1,Tier3,0,12,566.1904761904761,115,Dessert,409,0.6363636363636364,19,0.11216942920118797,0,0,0,1,1,0,0
0,0,LateNight,3,High,low,Tier1,Tier2,0,14,765.4444444444445,77,Dessert,247,0.5555555555555556,28,-0.0259167762225172,0,0,0,1,0,0,0
0,0,LateNight,3,High,low,Tier1,Tier2,0,14,765.4444444444445,77,Beverage,101,0.1111111111111111,28,-0.01453365545171693,0,0,1,0,0,0,0
0,0,LateNight,3,High,low,Tier1,Tier2,0,14,765.4444444444445,77,Dessert,144,0.3333333333333333,28,0.010012762248356025,0,0,0,1,0,0,0
0,0,LateNight,3,Medium,low,Tier2,Tier2,1,12,557.4,112,Beverage,278,0.75,38,0.14856724496711327,0,0,1,0,0,0,0
0,0,LateNight,3,Medium,low,Tier2,Tier2,1,12,557.4,112,Dessert,181,0.375,38,-0.033266735379933465,0,0,0,1,0,0,0
0,0,LateNight,3,High,low,Tier1,Tier2,0,14,765.4444444444445,77,Dessert,334,0.7777777777777778,28,-0.024123364947294782,0,0,0,1,1,0,0
0,0,LateNight,3,Medium,low,Tier2,Tier2,1,12,557.4,112,Beverage,358,0.875,38,-0.010523376618333604,0,0,1,0,1,0,0
0,0,LateNight,3,High,low,Tier1,Tier2,0,14,765.4444444444445,77,Beverage,187,0.4444444444444444,28,0.05557324327579993,0,0,1,0,0,0,0
0,0,LateNight,3,Medium,low,Tier2,Tier2,1,12,557.4,112,Side,89,0.125,38,-0.04062083400954776,0,0,0,0,0,0,0
